Number,Base ms,Miller ms
593,0.000125,0.057375
594,0.000084,0.000083
595,0.000083,0.000166
596,0.000042,0.000125
597,0.000083,0.000125
598,0.000042,0.000083
599,0.000125,0.060084
600,0.000084,0.000125
601,0.000125,0.060833
602,0.000084,0.000125
603,0.000084,0.000167
604,0.000084,0.000083
605,0.000041,0.000125
606,0.000083,0.000125
607,0.000125,0.059791
608,0.000041,0.000084
609,0.000083,0.000084
610,0.000083,0.000084
611,0.000083,0.000084
612,0.000083,0.000084
613,0.000084,0.057875
614,0.000042,0.000083
615,0.000125,0.000125
616,0.000125,0.000125
617,0.000125,0.060333
618,0.000084,0.000125
619,0.000125,0.056584
620,0.000083,0.000125
621,0.000083,0.000125
622,0.000125,0.000083
623,0.000041,0.000167
624,0.000083,0.000083
625,0.000083,0.000125
626,0.000125,0.000084
627,0.000125,0.000167
628,0.000125,0.000084
629,0.000125,0.000125
630,0.000083,0.000125
631,0.000125,0.060459
632,0.000084,0.000084
633,0.000083,0.000084
634,0.000041,0.000084
635,0.000042,0.000125
636,0.000084,0.000083
637,0.000042,0.000125
638,0.000042,0.000083
639,0.000083,0.000125
640,0.000125,0.000042
641,0.000084,0.054583
642,0.000042,0.000083
643,0.000084,0.059541
644,0.000042,0.000084
645,0.000125,0.000083
646,0.000083,0.000084
647,0.000125,0.058583
648,0.000083,0.000125
649,0.000083,0.000166
650,0.000041,0.000084
651,0.000084,0.000084
652,0.000041,0.000084
653,0.000083,0.137417
654,0.000083,0.000167
655,0.000125,0.000167
656,0.000083,0.000083
657,0.000083,0.000125
658,0.000083,0.000084
659,0.000167,0.105750
660,0.000083,0.000208
661,0.000208,0.057334
662,0.000083,0.000125
663,0.000084,0.000167
664,0.000041,0.000083
665,0.000125,0.000125
666,0.000042,0.000083
667,0.000167,0.000125
668,0.000083,0.000084
669,0.000084,0.000125
670,0.000041,0.000083
671,0.000125,0.000125
672,0.000125,0.000125
673,0.000125,0.061709
674,0.000042,0.000084
675,0.000125,0.000125
676,0.000041,0.000125
677,0.000167,0.055417
678,0.000083,0.000125
679,0.000084,0.000166
680,0.000084,0.000083
681,0.000083,0.000083
682,0.000084,0.000083
683,0.000166,0.065834
684,0.000083,0.000083
685,0.000083,0.000084
686,0.000083,0.000084
687,0.000084,0.000083
688,0.000041,0.000125
689,0.000125,0.000125
690,0.000084,0.000125
691,0.000125,0.058083
692,0.000042,0.000083
693,0.000083,0.000167
694,0.000041,0.000083
695,0.000084,0.000166
696,0.000125,0.000084
697,0.000125,0.000167
698,0.000084,0.000083
699,0.000125,0.000083
700,0.000084,0.000083
701,0.000125,0.054667
702,0.000084,0.000083
703,0.000208,0.000709
704,0.000041,0.000083
705,0.000084,0.000250
706,0.000083,0.000042
707,0.000083,0.000125
708,0.000042,0.000083
709,0.000125,0.066584
710,0.000042,0.000083
711,0.000084,0.000083
712,0.000083,0.000125
713,0.000125,0.000166
714,0.000083,0.000125
715,0.000125,0.000125
716,0.000041,0.000084
717,0.000084,0.000083
718,0.000084,0.000083
719,0.000125,0.061250
720,0.000083,0.000083
721,0.000084,0.000125
722,0.000041,0.000083
723,0.000125,0.000125
724,0.000042,0.000083
725,0.000125,0.000125
726,0.000041,0.000084
727,0.000125,0.058917
728,0.000042,0.000083
729,0.000083,0.000125
730,0.000084,0.000125
731,0.000083,0.000125
732,0.000083,0.000125
733,0.000167,0.055833
734,0.000042,0.000084
735,0.000125,0.000125
736,0.000041,0.000084
737,0.000083,0.000125
738,0.000083,0.000125
739,0.000083,0.058625
740,0.000042,0.000083
741,0.000084,0.000083
742,0.000042,0.000083
743,0.000125,0.058459
744,0.000084,0.000083
745,0.000083,0.000125
746,0.000042,0.000083
747,0.000292,0.001084
748,0.000083,0.000167
749,0.000208,0.000125
750,0.000083,0.000125
751,0.000208,0.067750
752,0.000041,0.000125
753,0.000125,0.000083
754,0.000125,0.000042
755,0.000208,0.000167
756,0.000084,0.000083
757,0.000250,0.061833
758,0.000042,0.000125
759,0.000125,0.000167
760,0.000083,0.000167
761,0.000209,0.056833
762,0.000041,0.000125
763,0.000083,0.000125
764,0.000041,0.000083
765,0.000125,0.000084
766,0.000084,0.000083
767,0.000083,0.000209
768,0.000125,0.000083
769,0.000250,0.065792
770,0.000083,0.000167
771,0.000083,0.000125
772,0.000084,0.000125
773,0.000125,0.053209
774,0.000042,0.000125
775,0.000084,0.000167
776,0.000083,0.000084
777,0.000125,0.000125
778,0.000125,0.000083
779,0.000125,0.000208
780,0.000083,0.000083
781,0.000125,0.000125
782,0.000084,0.000083
783,0.000083,0.000125
784,0.000125,0.000084
785,0.000083,0.000167
786,0.000083,0.000083
787,0.000250,0.059084
788,0.000083,0.000125
789,0.000041,0.000167
790,0.000083,0.000083
791,0.000083,0.000125
792,0.000125,0.000042
793,0.000167,0.000167
794,0.000084,0.000083
795,0.000083,0.000166
796,0.000083,0.000084
797,0.000125,0.058375
798,0.000083,0.000125
799,0.000083,0.000166
800,0.000125,0.000084
801,0.000125,0.000125
802,0.000084,0.000083
803,0.000125,0.000083
804,0.000125,0.000083
805,0.000042,0.000083
806,0.000041,0.000084
807,0.000083,0.000125
808,0.000083,0.000041
809,0.000083,0.057750
810,0.000083,0.000167
811,0.000083,0.061334
812,0.000083,0.000125
813,0.000083,0.000166
814,0.000084,0.000084
815,0.000083,0.000125
816,0.000083,0.000084
817,0.000125,0.000125
818,0.000083,0.000084
819,0.000125,0.000125
820,0.000125,0.000042
821,0.000125,0.058333
822,0.000083,0.000125
823,0.000125,0.058250
824,0.000042,0.000166
825,0.000042,0.000125
826,0.000125,0.000083
827,0.000084,0.058042
828,0.000125,0.000083
829,0.000125,0.062917
830,0.000083,0.000125
831,0.000042,0.000208
832,0.000042,0.000083
833,0.000084,0.000125
834,0.000083,0.000125
835,0.000083,0.000125
836,0.000083,0.000125
837,0.000042,0.000125
838,0.000125,0.000041
839,0.000125,0.059167
840,0.000125,0.000083
841,0.000167,0.000167
842,0.000042,0.000084
843,0.000042,0.000084
844,0.000125,0.000084
845,0.000083,0.000125
846,0.000083,0.000084
847,0.000042,0.000125
848,0.000041,0.000084
849,0.000041,0.000125
850,0.000083,0.000083
851,0.000167,0.000125
852,0.000083,0.000083
853,0.000125,0.056042
854,0.000083,0.000125
855,0.000042,0.000167
856,0.000042,0.000083
857,0.000208,0.069500
858,0.000083,0.000042
859,0.000166,0.234083
860,0.000125,0.000167
861,0.000125,0.000166
862,0.000042,0.000083
863,0.000125,0.115959
864,0.000083,0.000125
865,0.000084,0.000167
866,0.000084,0.000083
867,0.000083,0.000125
868,0.000041,0.000083
869,0.000125,0.000166
870,0.000083,0.000084
871,0.000125,0.000167
872,0.000083,0.000083
873,0.000083,0.000125
874,0.000083,0.000084
875,0.000083,0.000083
876,0.000125,0.000083
877,0.000167,0.168917
878,0.000125,0.000542
879,0.000041,0.000125
880,0.000083,0.000083
881,0.000167,0.049125
882,0.000083,0.000125
883,0.000208,0.076833
884,0.000083,0.000084
885,0.000083,0.000166
886,0.000042,0.000084
887,0.000208,0.044125
888,0.000084,0.000125
889,0.000208,0.000125
890,0.000042,0.000125
891,0.000083,0.000125
892,0.000042,0.000125
893,0.000125,0.000125
894,0.000042,0.000125
895,0.000084,0.000125
896,0.000042,0.000083
897,0.000042,0.000083
898,0.000042,0.000125
899,0.000208,0.000167
900,0.000250,0.000750
901,0.000333,0.000375
902,0.000083,0.000084
903,0.000042,0.000209
904,0.000083,0.000125
905,0.000083,0.000167
906,0.000083,0.000125
907,0.000250,0.081000
908,0.000083,0.000125
909,0.000083,0.000208
910,0.000041,0.000125
911,0.000166,0.058208
912,0.000084,0.000125
913,0.000125,0.000167
914,0.000084,0.000083
915,0.000125,0.000125
916,0.000083,0.000084
917,0.000083,0.000125
918,0.000083,0.000084
919,0.000125,0.057292
920,0.000041,0.000125
921,0.000083,0.000167
922,0.000041,0.000084
923,0.000041,0.000083
924,0.000083,0.000041
925,0.000084,0.000042
926,0.000041,0.000084
927,0.000042,0.000083
928,0.000042,0.000083
929,0.000083,0.066375
930,0.000083,0.000084
931,0.000084,0.000125
932,0.000083,0.000125
933,0.000083,0.000084
934,0.000083,0.000083
935,0.000083,0.000125
936,0.000041,0.000084
937,0.000125,0.082042
938,0.000084,0.000083
939,0.000084,0.000166
940,0.000041,0.000083
941,0.000125,0.056125
942,0.000042,0.000084
943,0.000125,0.000125
944,0.000041,0.000042
945,0.000083,0.000125
946,0.000084,0.000083
947,0.000125,0.046166
948,0.000083,0.000084
949,0.000083,0.000125
950,0.000042,0.000084
951,0.000083,0.000125
952,0.000083,0.000042
953,0.000041,0.047542
954,0.000042,0.000083
955,0.000084,0.000083
956,0.000084,0.000083
957,0.000083,0.000125
958,0.000083,0.000083
959,0.000084,0.000125
960,0.000042,0.000083
961,0.000083,0.000084
962,0.000042,0.000083
963,0.000041,0.000084
964,0.000041,0.000084
965,0.000084,0.000125
966,0.000042,0.000083
967,0.000083,0.105250
968,0.000167,0.006875
969,0.000042,0.000166
970,0.000042,0.000084
971,0.000084,0.047875
972,0.000041,0.000084
973,0.000125,0.000083
974,0.000041,0.000083
975,0.000042,0.000083
976,0.000041,0.000083
977,0.000125,0.043375
978,0.000042,0.000041
979,0.000083,0.000125
980,0.000042,0.000084
981,0.000083,0.000084
982,0.000042,0.000083
983,0.000125,0.051458
984,0.000041,0.000083
985,0.000042,0.000041
986,0.000041,0.000083
987,0.000084,0.000083
988,0.000083,0.000083
989,0.000125,0.000125
990,0.000042,0.000083
991,0.000292,0.053875
992,0.000042,0.000125
993,0.000083,0.000125
994,0.000083,0.000083
995,0.000125,0.000084
996,0.000083,0.000042
997,0.000209,0.045125
998,0.000042,0.000125
999,0.000083,0.000125
1000,0.000041,0.000084
1001,0.000125,0.000125
1002,0.000042,0.000083
1003,0.000125,0.000125
1004,0.000042,0.000083
1005,0.000083,0.000083
1006,0.000042,0.000083
1007,0.000125,0.000125
1008,0.000042,0.000083
1009,0.000125,0.056750
1010,0.000042,0.000083
1011,0.000042,0.000083
1012,0.000042,0.000042
1013,0.000125,0.045125
1014,0.000042,0.000125
1015,0.000084,0.000083
1016,0.000083,0.000041
1017,0.000041,0.000084
1018,0.000042,0.000084
1019,0.000125,0.047292
1020,0.000042,0.000125
1021,0.000125,0.048792
1022,0.000042,0.000083
1023,0.000084,0.000125
1024,0.000042,0.000083
1025,0.000042,0.000125
1026,0.000042,0.000084
1027,0.000083,0.000084
1028,0.000042,0.000084
1029,0.000083,0.000084
1030,0.000042,0.000083
1031,0.000167,0.050792
1032,0.000042,0.000042
1033,0.000208,0.051958
1034,0.000083,0.000083
1035,0.000084,0.000125
1036,0.000083,0.000042
1037,0.000083,0.000125
1038,0.000042,0.000083
1039,0.000125,0.053208
1040,0.000083,0.000042
1041,0.000125,0.000125
1042,0.000042,0.000083
1043,0.000083,0.000084
1044,0.000083,0.000083
1045,0.000083,0.000125
1046,0.000042,0.000083
1047,0.000083,0.000125
1048,0.000083,0.000084
1049,0.000166,0.050041
1050,0.000041,0.000084
1051,0.000125,0.046709
1052,0.000042,0.000083
1053,0.000125,0.000084
1054,0.000083,0.000084
1055,0.000083,0.000125
1056,0.000084,0.000083
1057,0.000083,0.000084
1058,0.000042,0.000083
1059,0.000083,0.000083
1060,0.000042,0.000084
1061,0.000166,0.054208
1062,0.000083,0.000042
1063,0.000125,0.047125
1064,0.000042,0.000083
1065,0.000083,0.000084
1066,0.000083,0.000084
1067,0.000083,0.000083
1068,0.000084,0.000083
1069,0.000125,0.071541
1070,0.000083,0.000125
1071,0.000083,0.000125
1072,0.000042,0.000041
1073,0.000083,0.000083
1074,0.000083,0.000042
1075,0.000041,0.000042
1076,0.000042,0.000084
1077,0.000083,0.000125
1078,0.000042,0.000042
1079,0.000083,0.000167
1080,0.000041,0.000083
1081,0.000041,0.000125
1082,0.000042,0.000084
1083,0.000125,0.000083
1084,0.000042,0.000042
1085,0.000084,0.000083
1086,0.000041,0.000083
1087,0.000208,0.060208
1088,0.000041,0.000083
1089,0.000125,0.000125
1090,0.000083,0.000083
1091,0.000125,0.047166
1092,0.000041,0.000084
1093,0.000083,0.046208
